frame_index,timestamp,desk_id,worker_id,state
108,09:05:42,1,W001,THINKING
108,09:05:42,2,W002,WORKING
108,09:05:42,3,W003,THINKING
108,09:05:42,4,W004,THINKING
108,09:05:42,5,W005,AWAY
108,09:05:42,6,W006,THINKING
109,09:05:42,1,W001,THINKING
109,09:05:42,2,W002,WORKING
109,09:05:42,3,W003,THINKING
109,09:05:42,4,W004,THINKING
109,09:05:42,5,W005,AWAY
109,09:05:42,6,W006,THINKING
110,09:05:42,1,W001,THINKING
110,09:05:42,2,W002,WORKING
110,09:05:42,3,W003,THINKING
110,09:05:42,4,W004,THINKING
110,09:05:42,5,W005,AWAY
110,09:05:42,6,W006,THINKING
111,09:05:42,1,W001,THINKING
111,09:05:42,2,W002,WORKING
111,09:05:42,3,W003,THINKING
111,09:05:42,4,W004,THINKING
111,09:05:42,5,W005,AWAY
111,09:05:42,6,W006,THINKING
112,09:05:42,1,W001,THINKING
112,09:05:42,2,W002,WORKING
112,09:05:42,3,W003,THINKING
112,09:05:42,4,W004,THINKING
112,09:05:42,5,W005,AWAY
112,09:05:42,6,W006,THINKING
113,09:05:42,1,W001,THINKING
113,09:05:42,2,W002,WORKING
113,09:05:42,3,W003,THINKING
113,09:05:42,4,W004,THINKING
113,09:05:42,5,W005,AWAY
113,09:05:42,6,W006,THINKING
114,09:05:42,1,W001,THINKING
114,09:05:42,2,W002,WORKING
114,09:05:42,3,W003,THINKING
114,09:05:42,4,W004,THINKING
114,09:05:42,5,W005,AWAY
114,09:05:42,6,W006,THINKING
115,09:05:42,1,W001,THINKING
115,09:05:42,2,W002,WORKING
115,09:05:42,3,W003,THINKING
115,09:05:42,4,W004,THINKING
115,09:05:42,5,W005,AWAY
115,09:05:42,6,W006,THINKING
116,09:05:42,1,W001,THINKING
116,09:05:42,2,W002,WORKING
116,09:05:42,3,W003,THINKING
116,09:05:42,4,W004,THINKING
116,09:05:42,5,W005,AWAY
116,09:05:42,6,W006,THINKING
117,09:05:42,1,W001,IDLE
117,09:05:42,2,W002,WORKING
117,09:05:42,3,W003,THINKING
117,09:05:42,4,W004,THINKING
117,09:05:42,5,W005,AWAY
117,09:05:42,6,W006,THINKING
118,09:05:42,1,W001,IDLE
118,09:05:42,2,W002,WORKING
118,09:05:42,3,W003,THINKING
118,09:05:42,4,W004,THINKING
118,09:05:42,5,W005,AWAY
118,09:05:42,6,W006,THINKING
119,09:05:42,1,W001,IDLE
119,09:05:42,2,W002,WORKING
119,09:05:42,3,W003,THINKING
119,09:05:42,4,W004,THINKING
119,09:05:42,5,W005,AWAY
119,09:05:42,6,W006,THINKING
120,09:05:43,1,W001,IDLE
120,09:05:43,2,W002,WORKING
120,09:05:43,3,W003,THINKING
120,09:05:43,4,W004,THINKING
120,09:05:43,5,W005,AWAY
120,09:05:43,6,W006,THINKING
121,09:05:43,1,W001,IDLE
121,09:05:43,2,W002,WORKING
121,09:05:43,3,W003,THINKING
121,09:05:43,4,W004,THINKING
121,09:05:43,5,W005,AWAY
121,09:05:43,6,W006,THINKING
122,09:05:43,1,W001,IDLE
122,09:05:43,2,W002,WORKING
122,09:05:43,3,W003,THINKING
122,09:05:43,4,W004,THINKING
122,09:05:43,5,W005,AWAY
122,09:05:43,6,W006,THINKING
123,09:05:43,1,W001,IDLE
123,09:05:43,2,W002,WORKING
123,09:05:43,3,W003,THINKING
123,09:05:43,4,W004,THINKING
123,09:05:43,5,W005,AWAY
123,09:05:43,6,W006,THINKING
124,09:05:43,1,W001,IDLE
124,09:05:43,2,W002,WORKING
124,09:05:43,3,W003,THINKING
124,09:05:43,4,W004,THINKING
124,09:05:43,5,W005,AWAY
124,09:05:43,6,W006,THINKING
125,09:05:43,1,W001,IDLE
125,09:05:43,2,W002,WORKING
125,09:05:43,3,W003,THINKING
125,09:05:43,4,W004,THINKING
125,09:05:43,5,W005,AWAY
125,09:05:43,6,W006,THINKING
